customer_id,full_name,gender,age,city,state,occupation,annual_income,joining_date,risk_category
1,Bhavya Bhatia,Female,42,Gangtok,Madhya Pradesh,Doctor,2109011,12-12-2020,High
2,Dalaja Lalla,Female,59,Sonipat,Haryana,Data Analyst,1258280,31-10-2021,Low
3,Bakhshi Bhatia,Female,52,Bardhaman,Himachal Pradesh,Student,1246729,20-11-2017,High
4,Omisha Kapur,Female,41,Mira-Bhayandar,Andhra Pradesh,Farmer,2381165,25-10-2018,Low
5,Vrishti Salvi,Male,28,Raichur,Nagaland,Software Engineer,2475683,05-11-2025,Low
6,Chaman Muni,Male,50,Vijayanagaram,Andhra Pradesh,Software Engineer,1936603,02-06-2022,Low
7,Prisha Mann,Male,36,Howrah,Haryana,Software Engineer,673142,01-08-2019,Low
8,Chaaya Oak,Male,29,Bareilly,Tamil Nadu,Doctor,2023355,06-07-2022,Low
9,Ayush Morar,Male,60,Ludhiana,Tamil Nadu,Student,2302658,17-02-2024,Low
10,Faras Goswami,Male,18,Miryalaguda,Andhra Pradesh,Software Engineer,789255,05-08-2019,Low
11,Janani Batta,Male,45,Coimbatore,Odisha,Sales Executive,948712,24-10-2018,Low
12,Rushil Ray,Male,27,Uluberia,Goa,Student,1259148,26-10-2023,Low
13,Hitesh Dara,Male,22,Unnao,West Bengal,Accountant,2032598,26-10-2023,Medium
14,Urishilla Loyal,Male,70,Raipur,Goa,Farmer,2328591,27-04-2019,Low
15,Yashica Krish,Male,59,New Delhi,Haryana,Accountant,239260,22-06-2018,Low
16,Xiti Kibe,Female,69,Chinsurah,Punjab,Teacher,979102,27-05-2024,Medium
17,Zayan Shukla,Male,40,North Dumdum,Assam,Business,1299056,23-03-2026,Low
18,Wriddhish Madan,Male,48,Alwar,Mizoram,Software Engineer,695224,12-09-2019,Medium
19,Jatin Batra,Male,41,Bikaner,Jharkhand,Teacher,295681,10-09-2022,Low
20,Rachita Raju,Male,53,Hosur,Tripura,Doctor,976789,31-05-2024,Medium
21,Abdul Varghese,Male,39,Thane,Rajasthan,Farmer,2196861,23-05-2024,High
22,Manan Bora,Male,63,Bilaspur,Goa,Sales Executive,1093936,30-01-2024,Low
23,Kabir Shroff,Female,25,Thoothukudi,Arunachal Pradesh,Student,2113601,28-02-2026,Low
24,Neelima Rana,Male,46,Solapur,Andhra Pradesh,Student,1744742,20-05-2025,Low
25,Noah Manda,Female,64,Kurnool,Goa,Lawyer,1354880,14-01-2017,Low
26,Peter Loyal,Female,26,Bilaspur,Manipur,Doctor,2184548,07-07-2019,Low
27,Robert Iyengar,Male,64,Dhanbad,Assam,Sales Executive,508421,11-01-2024,Medium
28,William Sampath,Male,39,Akola,Tamil Nadu,Data Analyst,1872062,23-05-2020,High
29,Vamakshi Kibe,Male,62,Nizamabad,Maharashtra,Farmer,980220,06-11-2025,Low
30,Lopa Patil,Female,56,Bathinda,Mizoram,Software Engineer,1595829,18-07-2026,Low
31,Triya Balan,Female,64,Khandwa,Madhya Pradesh,Data Analyst,888766,20-12-2025,Medium
32,Kashish Buch,Male,65,Muzaffarpur,Meghalaya,Doctor,2006891,13-06-2023,Low
33,Amara De,Male,33,Ranchi,Assam,Student,1496112,21-08-2021,Low
34,Harinakshi Tripathi,Male,38,Orai,Arunachal Pradesh,Lawyer,2259344,10-10-2019,Low
